gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000231259.5_AC125232.1	1057.1	-23.6	2.007e-66	4.545e-62
ENSG00000004939.15_SLC4A1	510513.3	10.5	7.613e-64	6.032e-60
ENSG00000188536.13_HBA2	4066464.1	11.5	1.303e-63	6.032e-60
ENSG00000123144.11_TRIR	4458.6	3	1.685e-62	6.56e-59
ENSG00000206172.8_HBA1	3063342.4	8.4	1.918e-58	5.072e-55
ENSG00000169877.10_AHSP	52068.9	6.8	3.526e-52	7.668e-49
ENSG00000241990.5_PRR34-AS1	140.1	7.4	1.155e-48	4.243e-45
ENSG00000135218.19_CD36	30699.5	4.5	5.058e-48	8.249e-45
ENSG00000182472.9_CAPN12	183.6	8.6	4.033e-44	8.77e-41
ENSG00000139116.18_KIF21A	500.3	5.4	1.459e-42	3.528e-39
ENSG00000184209.15_SNRNP35	637.7	1.6	4.071e-40	6.121e-37
ENSG00000269028.3_MTRNR2L12	261.3	6	1.87e-38	3.477e-35
ENSG00000232940.6_HCG25	261.7	2.4	8.767e-37	1.062e-33
ENSG00000234743.1_EIF5AP4	48.4	-20.7	9.283e-36	9.297e-33
ENSG00000164610.9_RP9	585.2	2.6	1.308e-35	2.318e-32
ENSG00000070182.21_SPTB	67385.3	4.4	4.022e-35	3.324e-32
ENSG00000258199.1_AC073896.4	188.7	4.3	4.472e-33	5.87e-30
ENSG00000100836.10_PABPN1	7622.1	2.4	1.145e-32	8.838e-30
ENSG00000256007.1_ARAP1-AS1	240.6	3.4	5.831e-32	4.971e-29
ENSG00000265784.1_AC006441.3	490	2.6	1.295e-31	1.494e-28
ENSG00000267007.1_AC012615.2	242.1	4.9	4.082e-31	4.337e-28
ENSG00000173473.11_SMARCC1	7279.4	-1.5	7.246e-31	4.388e-28
ENSG00000156858.11_PRR14	3055	2.1	9.377e-30	6.35e-27
ENSG00000140382.15_HMG20A	1481.1	-2	2.983e-29	2.814e-26
ENSG00000260107.1_AC005606.1	291.8	2.8	6.78e-29	4.393e-26
ENSG00000068796.17_KIF2A	1912.6	-1.7	6.294e-29	4.484e-26
