gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000136231.14_IGF2BP3	1123.2	-10.8	4.754e-68	1.328e-63
ENSG00000159217.10_IGF2BP1	1402.6	-9.5	1.348e-40	1.346e-36
ENSG00000213058.3_AL365357.1	1186.9	9.3	3.835e-40	3.57e-36
ENSG00000124006.15_OBSL1	614.6	-4.8	9.078e-32	3.936e-28
ENSG00000116017.11_ARID3A	5641.6	-2.7	1.025e-28	4.628e-25
ENSG00000090661.12_CERS4	208.8	-4.6	5.976e-25	7.399e-22
ENSG00000152413.15_HOMER1	88.6	-5.3	1.243e-23	2.97e-20
ENSG00000157500.12_APPL1	714.3	-3	4.885e-23	1.895e-19
ENSG00000241990.5_PRR34-AS1	140.1	7.1	2.659e-21	5.431e-18
ENSG00000182247.10_UBE2E2	90.5	-6.1	6.174e-21	9.941e-18
ENSG00000111846.17_GCNT2	2393.4	3	4.559e-20	9.355e-17
ENSG00000124570.20_SERPINB6	2231.4	-2.5	2.848e-19	4.034e-16
ENSG00000135862.6_LAMC1	628	-3.6	2.456e-19	4.034e-16
ENSG00000100181.22_TPTEP1	388.8	-2.6	1.851e-18	2.211e-15
ENSG00000139116.18_KIF21A	500.3	3.1	3.295e-18	4.003e-15
ENSG00000196482.18_ESRRG	24	-7.9	4.52e-18	4.464e-15
ENSG00000187772.8_LIN28B	223.3	-12	5.196e-18	4.829e-15
ENSG00000250722.6_SELENOP	470.1	4.5	7.484e-18	7.577e-15
ENSG00000123989.14_CHPF	126.3	-5.4	1.671e-16	1.416e-13
ENSG00000203797.10_DDO	41.5	5.9	4.523e-16	3.573e-13
ENSG00000226084.5_AC113935.1	956.2	2.1	4.459e-16	4.534e-13
ENSG00000169855.20_ROBO1	471.3	-2.5	6.042e-16	4.592e-13
ENSG00000058091.17_CDK14	156	3.7	1.163e-15	6.056e-13
ENSG00000130700.7_GATA5	359.4	-3.6	1.135e-15	7.909e-13
ENSG00000218208.1_RPS27AP11	73.8	2.9	1.523e-15	1.087e-12
ENSG00000165272.16_AQP3	1918.7	2.5	3.353e-15	2.642e-12
ENSG00000136603.14_SKIL	889.4	-3.5	4.675e-15	3.726e-12
ENSG00000115109.14_EPB41L5	104.8	-2.1	6.723e-15	4.413e-12
ENSG00000151276.23_MAGI1	44.1	-4	8.956e-15	5.164e-12
ENSG00000074416.14_MGLL	666.6	2.8	9.997e-15	5.78e-12
ENSG00000214548.18_MEG3	257.2	-7.8	1.573e-14	6.399e-12
ENSG00000131773.14_KHDRBS3	135.9	-3.6	1.186e-14	6.613e-12
ENSG00000137965.11_IFI44	134.7	3	2.345e-14	1.188e-11
ENSG00000135919.13_SERPINE2	1425.2	3	2.154e-14	1.264e-11
ENSG00000185046.18_ANKS1B	13.6	18.1	3.93e-14	1.848e-11
ENSG00000081026.19_MAGI3	232.3	-2.6	6.849e-14	2.216e-11
ENSG00000141744.4_PNMT	198.4	-3.1	1.102e-13	2.216e-11
ENSG00000198113.3_TOR4A	305.7	-2.4	7.35e-14	2.439e-11
ENSG00000007264.15_MATK	929.7	-3.4	5.085e-14	2.771e-11
